Nom/ID,subject,predicate,object,graph
q53,<http://fr.dbpedia.org/resource/Akureyri_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-18.07270050048828,http://MonSchema
q54,<http://fr.dbpedia.org/resource/Akureyri_Airport>,<http://dbpedia.org/ontology/alitude>,6,http://MonSchema
q55,<http://fr.dbpedia.org/resource/Egilsstaðir_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Egilsstadir,http://MonSchema
q56,<http://fr.dbpedia.org/resource/Egilsstaðir_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q57,<http://fr.dbpedia.org/resource/Egilsstaðir_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,65.28330230712889,http://MonSchema
q58,<http://fr.dbpedia.org/resource/Egilsstaðir_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-14.401399612426758,http://MonSchema
q59,<http://fr.dbpedia.org/resource/Egilsstaðir_Airport>,<http://dbpedia.org/ontology/alitude>,76,http://MonSchema
q60,<http://fr.dbpedia.org/resource/Hornafjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Hofn,http://MonSchema
q61,<http://fr.dbpedia.org/resource/Hornafjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q62,<http://fr.dbpedia.org/resource/Hornafjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,64.295601,http://MonSchema
q63,<http://fr.dbpedia.org/resource/Hornafjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-15.2272,http://MonSchema
q64,<http://fr.dbpedia.org/resource/Hornafjörður_Airport>,<http://dbpedia.org/ontology/alitude>,24,http://MonSchema
q65,<http://fr.dbpedia.org/resource/Húsavík_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Husavik,http://MonSchema
q66,<http://fr.dbpedia.org/resource/Húsavík_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q67,<http://fr.dbpedia.org/resource/Húsavík_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,65.952301,http://MonSchema
q68,<http://fr.dbpedia.org/resource/Húsavík_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-17.426001,http://MonSchema
q69,<http://fr.dbpedia.org/resource/Húsavík_Airport>,<http://dbpedia.org/ontology/alitude>,48,http://MonSchema
q70,<http://fr.dbpedia.org/resource/Ísafjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Isafjordur,http://MonSchema
